Lyrics,Direct Translation,Poetic Translation
Como Santa María guardou de mórte ũa bestiola que chaman donezinna.,How Holy Mary saved from death a little animal they call doneziña.,
,,
"Eno pouco e no muito, | en todo lles faz mercee","The Virgin, Mother of Him Who watches over all,","Holy Mary, Virgin Mother Of the Lord Who watches all"
"aos séus sérvos a Virgen, | Madre do que todo vee.","has mercy on Her servants, both great and small.","Sheds Her mercy on Her servants Low and lofty, great and small."
,,
"Desto direi un miragre | grande que fez a Reínna,","Concerning this, I shall tell a great miracle which the Queen,",Here's a miracle I'll tell you Of the Virgin for a king.
"Madre de Déus Jesú-Cristo, | a un rei que muito tiínna","Mother of God Jesus Christ, performed for a king who had placed",All his hopes on Her he fastened; He was Hers in everything.
"en ela sa asperança, | ca lle fez veer aginna","all of his hope sin Her, for She caused him in Her mercy to experience sorrow","In her mercy, Holy Mary Brought him sorrow harrowing,"
pesar e prazer mui grande | dũa ren por sa mercee.,and then great pleasure over a certain matter.,Which became a great elation That the king would long recall.
,,
Este pesar foi por ũa | bestiola que muit' amava,"The sorrow was for a little beast the Galicians call doneziña,","All this care was for a ferret (Called a doneziña there),"
"el Rei, que sigo tragía | e a que mui ben crïava,",which the king loved dearly and carried with him and carred for tenderly.,Which the king adored intensely And took with him everywhere.
"a que chaman donezinna | os galegos, e tirava","He hunted birds out of their nests with it,","They would hunt for birds together, As a close, devoted pair;"
"con ela aves das cóvas, | e de taes óme vee.",for one sometimes sees ferrets which can do that.,"Ferrets can be very clever, Coming when their masters call."
,,
Pero esta outras cousas | muitas e bõas fazía,"It did this and many other clever things,","Jumping, scampering around him, It did many clever feats,"
"trebellando e saltando, | onde gran prazer avía","scampering and jumping, at which the king took great delight.","And the king was so delighted, He would give it many treats."
aquel Rei; e por aquesto | atán gran ben lle quería,"Therefore, he was so fond of it that he considered",He gave thanks to God in Heaven For a gift so cute and sweet.
que tiínna que fezéra | Déus en dar-lla gran mercee.,that God had done him a great favor in giving it to him.,He adored the little ferret; Nothing else could so enthrall.
,,
"E por esto lle fezéra | de fust', en que a guardava,","Therefore, he made it a pretty little wodden cage in which to keep it","Just to keep it safe, he made a Pretty little wodden cage,"
"ũa arca mui ben feita, | e dentro a ensserrava",and closed the creature inside,"Where it slept and night so snugly, Safe where it could not engage"
"porque mal non recebesse, | ca muito se receava","so that no harm could come to it, for he was very afraid","With the cat, who sees in darkness, And who earns its living wage"
"do gato, que ena noite | mellor ca no día vee.","of the cat, which can see better at night than in the daytime.",Eating little things like ferrets That in corners creep and crawl.
,,
"Onde ll' avẽo un día, | indo per ũa carreira,",Whereby it happened to him one day while he was riding down a road,But it chanced the king was riding Down the road one hapless day
"que a quis tirar da arca; | e com' ela é ligeira,","that he took the ferret out of the cage, and, as it is a very quick animal,","And the little cage he opened, Thinking with his friend to play,"
"caeu ontr' os pés das bestas, | e foi en atal maneira",it fell under the horses' feet. It happened so suddenly,"But a ferret's very quick, and Suddenly, without delay,"
